Offer,Company Name,Product Details,Pack Details,Discounted Price,Original Price
₹39 OFF,Cetaphil,"Cetaphil
Moisturising Lotion - Dry & Sensitive Skin
3.7
56 Ratings
100 ml",No Pack Details,₹447.12,₹486
30% OFF,Vaseline,"Vaseline
Intensive Care Deep Moisture Body Lotion
4.3
9323 Ratings
12x400 ml - Multipack",No Pack Details,₹3150,₹4500
₹31 OFF,Sensodyne,"Sensodyne
Repair & Protect Toothpaste
4.2
4846 Ratings
70 g - (Pack of 2)",No Pack Details,₹379.25,₹410
₹32 OFF,Sensodyne,"Sensodyne
Rapid Relief Toothpaste
4.2
2269 Ratings
80 g - (Pack of 2)",No Pack Details,₹388.5,₹420
29% OFF,Whisper,"Whisper
Bindazzz Nights Sanitary Pads - Wider Back, Up To 0% Leak, Provides All Night Protection, XXXL
4.3
4011 Ratings
20 pcs",No Pack Details,₹495.81,₹700
25% OFF,Chandrika,"Chandrika
Ayurvedic Soap
4.3
2018 Ratings
125 g - (Pack of 6)",No Pack Details,₹225,₹300
20% OFF,Nivea,"Nivea
Pearl & Beauty Women Deodorant Roll-On - For Smooth & Beautiful Underarms
4.2
611 Ratings
2x50 ml - (Multipack)",No Pack Details,₹318.4,₹398
No Offer,Eno,"Eno
Fruit Salt - Lemon Flavor
4.2
4074 Ratings
3X5 g - Multipack",No Pack Details,₹30,No Original Price
20% OFF,Olay,"Olay
Regenerist Micro Sculpting Cream
3.8
90 Ratings
50 g",No Pack Details,₹1439.2,₹1799
₹90 OFF,Lakme,"Lakme
Absolute Under Cover Gel Face Primer
3.9
22 Ratings
30 g",30 g,₹809.1,₹899
26% OFF,STAYFREE,"STAYFREE
Dry Max All Nights XL - Sanitary Pads For Women
4.2
3214 Ratings
2 x 42 pcs - (Multipack)",No Pack Details,₹881.73,₹1198
₹153 OFF,Olay,"Olay
Regenerist Micro Sculpting Serum - Anti-Ageing, Improves Skin Texture
4
31 Ratings
50 ml",50 ml,₹1546.09,₹1699
₹34 OFF,L'Oreal Paris,"L'Oreal Paris
Casting Creme Gloss Hair Colour
4
455 Ratings
11 shades",No Pack Details,₹645.05,₹679
24% OFF,Dabur Red,"Dabur Red
Red Ayurvedic Fluoride Free Toothpaste
4.2
4584 Ratings
800 g - (4 x 200 g)",No Pack Details,₹404.32,₹532
37% OFF,Dove,"Dove
Hair Fall Rescue Shampoo
4.1
6598 Ratings
1 L",No Pack Details,₹755.37,₹1199
30% OFF,Plush,"Plush
Sanitary Pad - With Disposable Pouches & Panty Liners, 100% Pure Cotton, L, XL
4.6
36 Ratings
2 x 30 pcs - (Multipack)",No Pack Details,₹656.6,₹938
15% OFF,Listerine,"Listerine
Mouthwash - Cool Mint
4.2
1464 Ratings
3x250 ml - Multipack",No Pack Details,₹418.77,₹495
15% OFF,Garnier,"Garnier
Color Naturals Crème Riche Nourishing Permanent Hair Color - No Ammonia
4.1
1625 Ratings
8 shades",No Pack Details,₹177.65,₹209
20% OFF,Gillette,"Gillette
Mach3 Shaving Razor Cartridges
4.1
1406 Ratings
16 pcs",No Pack Details,₹1472,₹1840
15% OFF,Santoor,"Santoor
Classic Gentle Hand Wash - With Goodness Of Sandalwood & Tulsi
4.1
984 Ratings
2 x 1.5 L - Multipack",No Pack Details,₹340.29,₹398
35% OFF,Colgate,"Colgate
Total Advanced Antibacterial Toothpaste
4
282 Ratings
2X300 g - Multipack",No Pack Details,₹481,₹740
45% OFF,Palmolive,"Palmolive
Aroma Absolute Relax Shower Gel - With Ylang Ylang Essential Oil & Iris
4.2
1454 Ratings
750 ml",No Pack Details,₹296.45,₹539
No Offer,Medimix,"Medimix
Clear Glycerine Lakshadi Oil & Aloe Vera Soap Bar
4.2
536 Ratings
100 g - (Pack of 3)",No Pack Details,₹135,No Original Price
₹32 OFF,Listerine,"Listerine
Mouthwash Liquid - Original, Removes 99.9% Germs
4.3
844 Ratings
3x250 ml - (Multipack)",No Pack Details,₹493.5,₹525
₹33 OFF,Sensodyne,"Sensodyne
Fresh Mint Toothpaste
4.2
1859 Ratings
150 g - (Buy 2 Get 1 Free)",No Pack Details,₹407,₹440
17% OFF,Nivea,"Nivea
Body Lotion - Shea Smooth Milk, For Dry Skin
4.2
1948 Ratings
3x400 ml - Multipack",No Pack Details,₹1369.5,₹1650
50% OFF,Parachute Advansed,"Parachute Advansed
Advansed Deep Nourish Body Lotion - Intensively Moisturised Skin, Coconut Milk
4.1
2454 Ratings
3 x 400 ml - Multipack",No Pack Details,₹577.5,₹1155
₹13 OFF,Medimix,"Medimix
Ayurvedic Hand Made Soap - With 18 Herbs
4.2
2942 Ratings
6 x 125 g - Multipack",No Pack Details,₹241.3,₹254
₹85 OFF,Olay,"Olay
Total Effects 7 In One Day Cream - Normal, SPF 15
4.1
449 Ratings
50 g",No Pack Details,₹863.59,₹949
30% OFF,Lux,"Lux
International White Flower Creamy Perfection Soap Bar, Enriched with Swiss Moisturizers
4.1
711 Ratings
125 g - Carton",No Pack Details,₹58.1,₹83
35% OFF,Liril,"Liril
Lemon & Tea Tree Oil Soap, Made from 100% Vegetable Oils
4.2
1488 Ratings
125 g - Pack Of 6",No Pack Details,₹313.3,₹482
35% OFF,Savlon,"Savlon
Germ Protection Handwash - Moisture Shield
4.2
6061 Ratings
2x1.5 l - (Multipack)",No Pack Details,₹323.7,₹498
No Offer,Gillette,"Gillette
Classic Foam Shave - Sensitive, Lathers Quickly & Hydrates
4.2
2222 Ratings
6x418 g - Multipack",No Pack Details,₹1650,No Original Price
40% OFF,Colgate,"Colgate
Gentle Sensitive Care Ultra Soft Bristles Toothbrush
3.9
386 Ratings
5 pcs",No Pack Details,₹180,₹300
15% OFF,Nivea,"Nivea
Fresh Active Roll On
4.2
1149 Ratings
2x50 ml - (MultiPack)",No Pack Details,₹338.3,₹398
No Offer,Dettol,"Dettol
Liquid Disinfectant Cleaner For Home - Lime Fresh
4.3
9507 Ratings
200 ml",200 ml,No Discounted Price,No Original Price
